TIMESTAMP,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_75,SIF_GOME,SIF_GOME_NORM
200703,1.67349,1.63368,1.67349,3.26826,3.24124,3.26071,2.21985,2.06859,2.39571,3.4984,3.60705,3.64439,0.2986828,0.51126397
200704,3.73153,3.53603,3.83213,5.76064,5.80585,5.9633,3.11409,2.88773,3.26966,5.82816,5.55306,5.73164,0.12863979,0.18201058
200705,3.63956,3.55427,3.6255,6.6594,6.6847,6.75108,4.48663,4.20194,4.49178,7.18369,7.18826,7.33289,0.5994159,0.72837275
200706,5.72212,5.51697,5.82058,9.30071,9.1789,9.49092,6.40564,6.4408,6.79084,9.88458,10.185,10.3903,0.5096424,0.61398935
200707,4.96901,4.79392,4.98761,8.8823,8.78483,8.92281,6.44976,6.32758,6.55734,9.94955,9.83163,10.0536,0.38485497,0.46132153
200708,5.55835,4.75998,5.68645,7.7513,7.5004,7.82606,4.37836,4.10829,5.0221,7.71454,7.50698,7.85797,0.22722912,0.28930628
200709,5.04995,4.98549,5.12697,6.76765,6.85795,6.96404,3.82113,3.35769,4.60735,6.91906,6.30313,6.80183,0.24168478,0.35876682
200710,5.01935,4.938,5.15173,5.7117,5.62141,5.86786,2.99435,2.57272,3.07545,4.94419,4.8321,5.053,0.15827882,0.3125089
200711,2.71466,2.58264,2.75788,3.22129,3.14609,3.20983,1.29014,1.22532,1.39126,2.86348,2.94278,3.03834,0.20734705,0.5426575
200712,1.63746,1.63936,1.73675,1.43267,1.40301,1.43872,2.10929,1.89278,2.15328,2.08449,2.08449,2.2455,0.009811671,0.0472131
200801,1.22225,1.21413,1.29504,1.47146,1.37291,1.47146,3.92438,3.6243,3.94398,2.27498,2.13222,2.22272,-0.041970585,-0.1409833
200802,3.86555,3.86035,3.95305,3.79985,3.72461,3.85818,2.92425,2.12908,3.26398,3.85132,3.48157,3.84807,0.23289025,0.5504568
200803,2.71505,2.57348,2.75576,3.92551,3.93964,4.08986,1.94741,1.92029,1.98908,4.0039,3.95671,3.98176,0.43358758,0.723365
200804,3.9804,3.21474,3.92926,5.77436,5.17669,5.69849,3.85689,3.64386,3.87809,5.98754,5.97014,6.1346,0.38866517,0.5344095
200805,6.55434,6.52429,6.68387,8.24477,8.19957,8.32431,7.2684,6.38682,6.9344,8.80979,8.73212,8.88825,0.44308972,0.5402808
200806,6.9247,6.49459,6.8524,9.60981,9.45232,9.65458,6.22087,6.22348,6.36954,8.98546,8.74054,8.87772,0.26333973,0.3280444
200807,7.42736,7.08021,7.39185,10.1341,9.79885,10.053,5.38292,5.41618,5.67015,9.17225,9.01543,9.27876,0.510567,0.6533747
200808,6.02407,5.82943,6.05423,7.61162,7.43766,7.6307,5.97375,5.37863,5.91006,7.45738,7.39336,7.81549,0.19203623,0.28647354
200809,5.94358,5.64618,5.90422,6.09607,5.91999,6.18513,4.91135,4.38638,4.74939,6.30236,6.16569,6.3037,0.083159626,0.15227418
200810,6.19835,6.02202,6.22886,5.19049,5.05477,5.25283,4.48068,4.83915,5.24849,5.2206,4.96592,5.0876,0.16176479,0.30973402
200811,3.44743,3.39903,3.45975,2.41526,2.36717,2.43649,3.58295,3.49209,3.77568,3.21573,3.01304,3.2273,0.25583917,0.7683726
200812,2.08169,1.94991,2.27205,2.21134,1.96915,2.21134,2.06736,1.56786,2.00612,2.34696,2.0881,2.32232,0.079301715,0.20379248
